title,year,budget_raw,box_office_raw,image,budget_millionUSD,box_office_millionUSD,title_clean,log_budget,log_box_office
Wake Island,1942,"$826,000","$3,500,000",images\1942_Wake_Island.jpg,0.826,3.5,Wake Island,0.6021277821727766,1.5040773967762742
Kings Row,1942,"$1,081,698","$3,143,000",images\1942_Kings_Row.jpg,1.081698,3.143,Kings Row,0.7331839068377838,1.4214201630952648
For Me and My Gal,1942,"$841,000","$2,894,000",images\1942_For_Me_and_My_Gal.jpg,0.841,2.894,For Me and My Gal,0.6103089022509408,1.359436906950008
This is the Army,1943,"$1,870,000","$8,301,000",images\1943_This_is_the_Army.jpg,1.87,8.301,This is the Army,1.0543120297715298,2.23012192126033
For Whom the Bell Tolls,1943,$3 million,"$6,300,000",images\1943_For_Whom_the_Bell_Tolls.jpg,3.0,6.3,For Whom the Bell Tolls,1.3862943611198906,1.9878743481543455
The Song of Bernadette,1943,$1.6 million,"$4,700,000",images\1943_The_Song_of_Bernadette.jpg,1.6,4.7,The Song of Bernadette,0.9555114450274363,1.7404661748405046
Star Spangled Rhythm,1943,"$1,127,989","$3,850,000",images\1943_Star_Spangled_Rhythm.jpg,1.127989,3.85,Star Spangled Rhythm,0.7551774022931054,1.5789787049493917
Thousands Cheer,1943,"$1,568,000","$3,751,000",images\1943_Thousands_Cheer.jpg,1.568,3.751,Thousands Cheer,0.9431273858277147,1.5583551222047842
Coney Island,1943,$1.6 million,"$3,305,000",images\1943_Coney_Island.jpg,1.6,3.305,Coney Island,0.9555114450274363,1.459777137879694
Destination Tokyo,1943,"$1,516,000","$3,237,000",images\1943_Destination_Tokyo.jpg,1.516,3.237,Destination Tokyo,0.922670338838194,1.4438554716444223
Meet Me in St. Louis,1944,$1.9 million,"$5,016,000",images\1944_Meet_Me_in_St._Louis.jpg,1.9,5.016,Meet Me in St. Louis,1.0647107369924282,1.7944225866475387
Since You Went Away,1944,"$3,257,000","$4,950,000",images\1944_Since_You_Went_Away.jpg,3.257,4.95,Since You Went Away,1.4485646868460151,1.7833912195575383
Thirty Seconds Over Tokyo,1944,$2.9 million,"$4,297,000",images\1944_Thirty_Seconds_Over_Tokyo.jpg,2.9,4.297,Thirty Seconds Over Tokyo,1.3609765531356006,1.6671406225623895
The Story of Dr. Wassell,1944,"$2,744,991","$4,209,968",images\1944_The_Story_of_Dr._Wassell.jpg,2.744991,4.209968,The Story of Dr. Wassell,1.3204192137620228,1.6505737137118641
The White Cliffs of Dover,1944,"$2,342,000","$4,045,000",images\1944_The_White_Cliffs_of_Dover.jpg,2.342,4.045,The White Cliffs of Dover,1.206569430173202,1.6183976538055722
A Guy Named Joe,1944,"$2,627,000","$3,970,000",images\1944_A_Guy_Named_Joe.jpg,2.627,3.97,A Guy Named Joe,1.2884058603007653,1.6034198401085376
Hollywood Canteen,1944,"$2,126,000","$3,831,000",images\1944_Hollywood_Canteen.jpg,2.126,3.831,Hollywood Canteen,1.1397542319992848,1.5750534855722695
To Have and Have Not,1944,$1.68 million,"$3,652,000",images\1944_To_Have_and_Have_Not.jpg,1.68,3.652,To Have and Have Not,0.9858167945227653,1.537297234656418
Bathing Beauty,1944,"$2,361,000","$3,284,000",images\1944_Bathing_Beauty.jpg,2.361,3.284,Bathing Beauty,1.2122385487429688,1.4548871525855023
The Bells of St. Mary's,1945,$1.3 million,"$8,000,000",images\1945_The_Bells_of_St._Mary's.jpg,1.3,8.0,The Bells of St. Mary's,0.832909122935104,2.1972245773362196
Spellbound,1945,US$1.5 million,"$4,975,000",images\1945_Spellbound.jpg,1.5,4.975,Spellbound,0.9162907318741551,1.7875840978175743
The Valley of Decision,1945,"$2,165,000","$4,566,000",images\1945_The_Valley_of_Decision.jpg,2.165,4.566,The Valley of Decision,1.1521530555961395,1.716676663103699
Anchors Aweigh,1945,$2.6 million,"$4,498,000",images\1945_Anchors_Aweigh.jpg,2.6,4.498,Anchors Aweigh,1.2809338454620642,1.704384389743054
Week-End at the Waldorf,1945,"$2,561,000","$4,364,000",images\1945_Week-End_at_the_Waldorf.jpg,2.561,4.364,Week-End at the Waldorf,1.2700414042956407,1.679709965419432
Thrill of a Romance,1945,"$1,410,000","$4,338,000",images\1945_Thrill_of_a_Romance.jpg,1.41,4.338,Thrill of a Romance,0.8796267475025635,1.6748510509823324
The Lost Weekend,1945,$1.25 million,"$4,300,000",images\1945_The_Lost_Weekend.jpg,1.25,4.3,The Lost Weekend,0.8109302162163288,1.667706820558076
National Velvet,1945,"$2,770,000","$3,678,000",images\1945_National_Velvet.jpg,2.77,3.678,National Velvet,1.3270750014599193,1.5428706681619873
Duel in the Sun,1946,$6.48 million,"$10,000,000",images\1946_Duel_in_the_Sun.jpg,6.48,10.0,Duel in the Sun,2.012232791986386,2.3978952727983707
The Best Years of Our Lives,1946,$2.1 million  or $3 million,"$7,675,000",images\1946_The_Best_Years_of_Our_Lives.jpg,2.55,7.675,The Best Years of Our Lives,1.2669476034873244,2.160445325832923
The Jolson Story,1946,$2 million,"$7,600,000",images\1946_The_Jolson_Story.jpg,2.0,7.6,The Jolson Story,1.0986122886681098,2.151762203259462
Saratoga Trunk,1946,"$2,393,000","$5,148,000",images\1946_Saratoga_Trunk.jpg,2.393,5.148,Saratoga Trunk,1.221714485802093,1.8161268256763494
The Razor's Edge,1946,$1.2 million,"$5,000,000",images\1946_The_Razor's_Edge.jpg,1.2,5.0,The Razor's Edge,0.7884573603642702,1.791759469228055
Night and Day,1946,"$4,445,000","$4,990,000",images\1946_Night_and_Day.jpg,4.445,4.99,Night and Day,1.694697756384924,1.7900914121273581
Notorious,1946,$1 million,"$4,850,000",images\1946_Notorious.jpg,1.0,4.85,Notorious,0.6931471805599453,1.766441661243765
The Yearling,1946,"$3,883,000","$4,768,000",images\1946_The_Yearling.jpg,3.883,4.768,The Yearling,1.5857597850795233,1.752325399982648
Till the Clouds Roll By,1946,"$3,316,000","$4,748,000",images\1946_Till_the_Clouds_Roll_By.jpg,3.316,4.748,Till the Clouds Roll By,1.462329047395888,1.7488519682167785
The Egg and I,1947,"$1,900,000","$5,500,000",,1.9,5.5,The Egg and I,1.0647107369924282,1.8718021769015913
Life with Father,1947,"$4,710,000","$5,057,000",images\1947_Life_with_Father.jpg,4.71,5.057,Life with Father,1.742219023667919,1.8012146279988102
Forever Amber,1947,$6.4 million,"$5,000,000",images\1947_Forever_Amber.jpg,6.4,5.0,Forever Amber,2.0014800002101243,1.791759469228055
Unconquered,1947,"$4,371,593","$4,633,486",images\1947_Unconquered.jpg,4.371593,4.633486,Unconquered,1.6811245125741345,1.7287284334854198
Road to Rio,1947,$2.4 million,"$4,500,000",images\1947_Road_to_Rio.jpg,2.4,4.5,Road to Rio,1.2237754316221157,1.7047480922384253
Green Dolphin Street,1947,"$4,391,000","$4,384,380",images\1947_Green_Dolphin_Street.jpg,4.391,4.38438,Green Dolphin Street,1.6847308964695318,1.6835021693466108
The Bachelor and the Bobby-Soxer,1947,"$1,961,000","$4,200,000",images\1947_The_Bachelor_and_the_Bobby-Soxer.jpg,1.961,4.2,The Bachelor and the Bobby-Soxer,1.0855270491194544,1.6486586255873816
Cass Timberlane,1947,"$2,733,000","$3,983,000",images\1947_Cass_Timberlane.jpg,2.733,3.983,Cass Timberlane,1.3172121999324469,1.6060321192992677
Red River,1948,$2.7 million,"$4,506,825",images\1948_Red_River.jpg,2.7,4.506825,Red River,1.308332819650179,1.7059882320379964
The Paleface,1948,$2 million,"$4,500,000",images\1948_The_Paleface.jpg,2.0,4.5,The Paleface,1.0986122886681098,1.7047480922384253
Johnny Belinda,1948,"$1,631,000","$4,266,000",images\1948_Johnny_Belinda.jpg,1.631,4.266,Johnny Belinda,0.9673640020581556,1.6612710610741177
Easter Parade,1948,$2.66 million,"$4,144,000",images\1948_Easter_Parade.jpg,2.66,4.144,Easter Parade,1.297463147413275,1.6378309869353183
The Three Musketeers,1948,"$4,474,000","$4,124,000",images\1948_The_Three_Musketeers.jpg,4.474,4.124,The Three Musketeers,1.7000096106184874,1.6339353840344877
The Snake Pit,1948,$3.8 million,"$4,100,000",images\1948_The_Snake_Pit.jpg,3.8,4.1,The Snake Pit,1.5686159179138452,1.62924053973028
The Emperor Waltz,1948,$3.8 million,"$4,000,000",images\1948_The_Emperor_Waltz.jpg,3.8,4.0,The Emperor Waltz,1.5686159179138452,1.6094379124341003
Homecoming,1948,$2.6 million,"$3,699,000",images\1948_Homecoming.jpg,2.6,3.699,Homecoming,1.2809338454620642,1.5473497201206787
Sitting Pretty,1948,$1.3 million,"$3,550,000",images\1948_Sitting_Pretty.jpg,1.3,3.55,Sitting Pretty,0.832909122935104,1.5151272329628591
Battleground,1949,"$1,631,000","$4,722,000",images\1949_Battleground.jpg,1.631,4.722,Battleground,0.9673640020581556,1.7443183946279186
Sands of Iwo Jima,1949,"$1,397,558","$4,000,000",images\1949_Sands_of_Iwo_Jima.jpg,1.397558,4.0,Sands of Iwo Jima,0.8744507193493655,1.6094379124341003
The Stratton Story,1949,"$1,771,000","$3,831,000",images\1949_The_Stratton_Story.jpg,1.771,3.831,The Stratton Story,1.0192082658808412,1.5750534855722695
Neptune's Daughter,1949,"$2,221,000","$3,477,000",images\1949_Neptune's_Daughter.jpg,2.221,3.477,Neptune's Daughter,1.1696918703490617,1.4989531792588286
Little Women,1949,"$2,776,000","$3,425,000",images\1949_Little_Women.jpg,2.776,3.425,Little Women,1.3286652482832542,1.4872702784598928
Samson and Delilah,1950,$2.9  -3.1 million,"$9,000,000",images\1950_Samson_and_Delilah.jpg,2.9,9.0,Samson and Delilah,1.3609765531356006,2.302585092994046
King Solomon's Mines,1950,$2.3 million,"$5,047,000",images\1950_King_Solomon's_Mines.jpg,2.3,5.047,King Solomon's Mines,1.1939224684724346,1.7995622812910759
Annie Get Your Gun,1950,"$3,734,000","$4,708,000",images\1950_Annie_Get_Your_Gun.jpg,3.734,4.708,Annie Get Your Gun,1.5547705110917922,1.74186869961459
Cheaper by the Dozen,1950,$1.7 million,"$4,425,000",images\1950_Cheaper_by_the_Dozen.jpg,1.7,4.425,Cheaper by the Dozen,0.9932517730102833,1.6910178994265233
Cinderella,1950,$2.2 million,"$4,275,000",images\1950_Cinderella.jpg,2.2,4.275,Cinderella,1.1631508098056809,1.6629786793621302
Father of the Bride,1950,"$1,215,000","$4,036,000",images\1950_Father_of_the_Bride.jpg,1.215,4.036,Father of the Bride,0.795252403497099,1.6166121161821005
All About Eve,1950,$1.4 million,"$3,100,000",images\1950_All_About_Eve.jpg,1.4,3.1,All About Eve,0.8754687373538999,1.410986973710262
Three Little Words,1950,"$1,470,000","$3,019,000",images\1950_Three_Little_Words.jpg,1.47,3.019,Three Little Words,0.9042181506398859,1.391033115467064
Quo Vadis,1951,$7.6 million,"$11,143,000",images\1951_Quo_Vadis.jpg,7.6,11.143,Quo Vadis,2.151762203259462,2.496752872071682
Show Boat,1951,"$2,389,000","$5,293,000",images\1951_Show_Boat.jpg,2.389,5.293,Show Boat,1.2205348926249142,1.8394379045447966
David and Bathsheba,1951,$2.17 million,"$4,720,000",images\1951_David_and_Bathsheba.jpg,2.17,4.72,David and Bathsheba,1.1537315878891892,1.7439688053917064
The Great Caruso,1951,"$1,853,000","$4,309,000",images\1951_The_Great_Caruso.jpg,1.853,4.309,The Great Caruso,1.0483710722313628,1.6694034936015345
A Streetcar Named Desire,1951,$1.8 million,"$4,250,000",images\1951_A_Streetcar_Named_Desire.jpg,1.8,4.25,A Streetcar Named Desire,1.0296194171811581,1.6582280766035324
The African Queen,1951,$1 million,"$4,100,000",images\1951_The_African_Queen.jpg,1.0,4.1,The African Queen,0.6931471805599453,1.62924053973028
An American in Paris,1951,$2.7 million,"$3,750,000",images\1951_An_American_in_Paris.jpg,2.7,3.75,An American in Paris,1.308332819650179,1.55814461804655
A Place in the Sun,1951,$2.3 million,"$3,500,000",images\1951_A_Place_in_the_Sun.jpg,2.3,3.5,A Place in the Sun,1.1939224684724346,1.5040773967762742
At War with the Army,1951,"less than $500,000  or $420,000","$3,300,000",images\1951_At_War_with_the_Army.jpg,0.45999999999999996,3.3,At War with the Army,0.37843643572024505,1.4586150226995167
The Greatest Show on Earth,1952,$4 million,"$12,800,000",images\1952_The_Greatest_Show_on_Earth.jpg,4.0,12.8,The Greatest Show on Earth,1.6094379124341003,2.624668592163159
This Is Cinerama,1952,$1 million,"$12,500,000",images\1952_This_Is_Cinerama.jpg,1.0,12.5,This Is Cinerama,0.6931471805599453,2.6026896854443837
The Snows of Kilimanjaro,1952,$2.7-3 million,"$6,500,000",images\1952_The_Snows_of_Kilimanjaro.jpg,2.7,6.5,The Snows of Kilimanjaro,1.308332819650179,2.0149030205422647
Hans Christian Andersen,1952,$4 million,"$6,000,000",images\1952_Hans_Christian_Andersen.jpg,4.0,6.0,Hans Christian Andersen,1.6094379124341003,1.9459101490553132
Ivanhoe,1952,"$3,842,000","$5,810,000",images\1952_Ivanhoe.jpg,3.842,5.81,Ivanhoe,1.5773278585158668,1.918392120161421
Moulin Rouge,1952,$1.1 million,"$4,252,000",images\1952_Moulin_Rouge.jpg,1.1,4.252,Moulin Rouge,0.7419373447293773,1.6586089564405497
High Noon,1952,"$730,000","$3,750,000",images\1952_High_Noon.jpg,0.73,3.75,High Noon,0.5481214085096876,1.55814461804655
The Robe,1953,$4.1 million  - $4.6 million,"$17,500,000",images\1953_The_Robe.jpg,4.35,17.5,The Robe,1.6770965609079151,2.917770732084279
From Here to Eternity,1953,$1.7-2.5 million,"$12,200,000",images\1953_From_Here_to_Eternity.jpg,1.7,12.2,From Here to Eternity,0.9932517730102833,2.580216829592325
Shane,1953,$1.5 million,"$8,000,000",images\1953_Shane.jpg,1.5,8.0,Shane,0.9162907318741551,2.1972245773362196
How to Marry a Millionaire,1953,$1.9 million,"$7,300,000",images\1953_How_to_Marry_a_Millionaire.jpg,1.9,7.3,How to Marry a Millionaire,1.0647107369924282,2.1162555148025524
Peter Pan,1953,$4 million,"$6,000,000",images\1953_Peter_Pan.jpg,4.0,6.0,Peter Pan,1.6094379124341003,1.9459101490553132
House of Wax,1953,$1 million,"$5,500,000",images\1953_House_of_Wax.jpg,1.0,5.5,House of Wax,0.6931471805599453,1.8718021769015913
Gentlemen Prefer Blondes,1953,$2.3 million  or $2.7 million,"$5,100,000",images\1953_Gentlemen_Prefer_Blondes.jpg,2.5,5.1,Gentlemen Prefer Blondes,1.252762968495368,1.8082887711792655
Mogambo,1953,$3.1 million,"$4,576,000",images\1953_Mogambo.jpg,3.1,4.576,Mogambo,1.410986973710262,1.7184716734582226
Knights of the Round Table,1953,$2.6 million,"$4,518,000",images\1953_Knights_of_the_Round_Table.jpg,2.6,4.518,Knights of the Round Table,1.2809338454620642,1.7080154757950943
White Christmas,1954,$2 million,"$12,000,000",images\1954_White_Christmas.jpg,2.0,12.0,White Christmas,1.0986122886681098,2.5649493574615367
The Caine Mutiny,1954,$2 million,"$8,700,000",images\1954_The_Caine_Mutiny.jpg,2.0,8.7,The Caine Mutiny,1.0986122886681098,2.272125885509337
"20,000 Leagues Under the Sea",1954,$5 million,"$8,000,000","images\1954_20,000_Leagues_Under_the_Sea.jpg",5.0,8.0,"20,000 Leagues Under the Sea",1.791759469228055,2.1972245773362196
The High and the MightyA Star Is Born,1954,$1.47 million,"$6,100,000",images\1954_The_High_and_the_MightyA_Star_Is_Born.jpg,1.47,6.1,The High and the MightyA Star Is Born,0.9042181506398859,1.9600947840472698
Seven Brides for Seven Brothers,1954,"$2,540,000","$5,526,000",images\1954_Seven_Brides_for_Seven_Brothers.jpg,2.54,5.526,Seven Brides for Seven Brothers,1.264126727145683,1.8757941981711288
Rear Window,1954,$1 million,"$5,300,000",images\1954_Rear_Window.jpg,1.0,5.3,Rear Window,0.6931471805599453,1.840549633397487
There's No Business Like Show Business,1954,$4.3 million,"$5,103,555",images\1954_There's_No_Business_Like_Show_Business.jpg,4.3,5.103555,There's No Business Like Show Business,1.667706820558076,1.8088713883101852
Cinerama Holiday,1955,$1.5 million,"$10,000,000",,1.5,10.0,Cinerama Holiday,0.9162907318741551,2.3978952727983707
Mister Roberts,1955,$2.3 million,"$8,500,000",images\1955_Mister_Roberts.jpg,2.3,8.5,Mister Roberts,1.1939224684724346,2.2512917986064953
Oklahoma!,1955,$5.9 million,"$7,100,000",images\1955_Oklahoma!.jpg,5.9,7.1,Oklahoma!,1.9315214116032138,2.0918640616783932
Guys and Dolls,1955,$5.5 million,"$6,801,000",images\1955_Guys_and_Dolls.jpg,5.5,6.801,Guys and Dolls,1.8718021769015913,2.054251930606176
Lady and the Tramp,1955,$4 million,"$6,500,000",images\1955_Lady_and_the_Tramp.jpg,4.0,6.5,Lady and the Tramp,1.6094379124341003,2.0149030205422647
Picnic,1955,$3 million,"$6,300,000",images\1955_Picnic.jpg,3.0,6.3,Picnic,1.3862943611198906,1.9878743481543455
Not as a Stranger,1955,$1.5 million,"$6,200,000",images\1955_Not_as_a_Stranger.jpg,1.5,6.2,Not as a Stranger,0.9162907318741551,1.9740810260220096
I'll Cry Tomorrow,1955,"$2,147,000","$5,873,000",images\1955_I'll_Cry_Tomorrow.jpg,2.147,5.873,I'll Cry Tomorrow,1.1464496180822696,1.9276006921394682
The Ten Commandments,1956,$13 million,"$34,200,000",images\1956_The_Ten_Commandments.jpg,13.0,34.2,The Ten Commandments,2.6390573296152584,3.5610460826040513
Around the World in 80 Days,1956,$6 million,"$22,000,000",images\1956_Around_the_World_in_80_Days.jpg,6.0,22.0,Around the World in 80 Days,1.9459101490553132,3.1354942159291497
Giant,1956,$5.4 million,"$12,000,000",images\1956_Giant.jpg,5.4,12.0,Giant,1.8562979903656263,2.5649493574615367
The King and I,1956,$4.55 million,"$8,500,000",images\1956_The_King_and_I.jpg,4.55,8.5,The King and I,1.713797927758343,2.2512917986064953
Trapeze,1956,$4 million,"$7,300,000",images\1956_Trapeze.jpg,4.0,7.3,Trapeze,1.6094379124341003,2.1162555148025524
War and Peace,1956,$5 million,"$6,250,000",images\1956_War_and_Peace.jpg,5.0,6.25,War and Peace,1.791759469228055,1.9810014688665833
High Society,1956,$2.8 million,"$5,602,000",images\1956_High_Society.jpg,2.8,5.602,High Society,1.33500106673234,1.8873726334310013
The Teahouse of the August Moon,1956,"$3,926,000","$5,550,000",images\1956_The_Teahouse_of_the_August_Moon.jpg,3.926,5.55,The Teahouse of the August Moon,1.5945272996983462,1.8794650496471605
The Eddy Duchin Story,1956,$3 million,"$5,300,000",images\1956_The_Eddy_Duchin_Story.jpg,3.0,5.3,The Eddy Duchin Story,1.3862943611198906,1.840549633397487
The Bridge on the River Kwai,1957,$2.8 million,"$15,000,000",images\1957_The_Bridge_on_the_River_Kwai.jpg,2.8,15.0,The Bridge on the River Kwai,1.33500106673234,2.772588722239781
Peyton Place,1957,$1.8  -$2.2 million,"$11,000,000",images\1957_Peyton_Place.jpg,2.0,11.0,Peyton Place,1.0986122886681098,2.4849066497880004
Raintree County,1957,"$5,474,000","$5,830,000",images\1957_Raintree_County.jpg,5.474,5.83,Raintree County,1.8677941555040527,1.9213246735826988
Island in the SunA Farewell to Arms,1957,$2.25 million  or $3 million,"$5,000,000",images\1957_Island_in_the_SunA_Farewell_to_Arms.jpg,2.625,5.0,Island in the SunA Farewell to Arms,1.2878542883066382,1.791759469228055
Pal Joey,1957,$3 million,"$4,700,000",images\1957_Pal_Joey.jpg,3.0,4.7,Pal Joey,1.3862943611198906,1.7404661748405046
Gunfight at the O.K. Corral,1957,$2 million,"$4,300,000",images\1957_Gunfight_at_the_O.K._Corral.jpg,2.0,4.3,Gunfight at the O.K. Corral,1.0986122886681098,1.667706820558076
Don't Go Near the Water,1957,"$2,495,000","$4,265,000",images\1957_Don't_Go_Near_the_Water.jpg,2.495,4.265,Don't Go Near the Water,1.2513333756857736,1.6610811455859387
South Pacific,1958,$5.61 million,"$16,300,000",images\1958_South_Pacific.jpg,5.61,16.3,South Pacific,1.888583653863595,2.8507065015037334
Cat on a Hot Tin Roof,1958,$2.3 million,"$7,660,000",images\1958_Cat_on_a_Hot_Tin_Roof.jpg,2.3,7.66,Cat on a Hot Tin Roof,1.1939224684724346,2.1587147225743437
Gigi,1958,$3.3 million,"$6,500,000",images\1958_Gigi.jpg,3.3,6.5,Gigi,1.4586150226995167,2.0149030205422647
The Vikings,1958,$3.5 million,"$6,000,000",images\1958_The_Vikings.jpg,3.5,6.0,The Vikings,1.5040773967762742,1.9459101490553132
The Young Lions,1958,$3.55 million,"$4,480,000",images\1958_The_Young_Lions.jpg,3.55,4.48,The Young Lions,1.5151272329628591,1.7011051009599243
The Inn of the Sixth Happiness,1958,$3.5 million,"$4,400,000",images\1958_The_Inn_of_the_Sixth_Happiness.jpg,3.5,4.4,The Inn of the Sixth Happiness,1.5040773967762742,1.6863989535702288
Some Came Running,1958,$3 million,"$4,245,000",images\1958_Some_Came_Running.jpg,3.0,4.245,Some Came Running,1.3862943611198906,1.6572752418482606
Ben-Hur,1959,$15.2 million,"$36,000,000",images\1959_Ben-Hur.jpg,15.2,36.0,Ben-Hur,2.785011242238338,3.6109179126442243
Some Like It Hot,1959,$2.9 million,"$8,127,835",images\1959_Some_Like_It_Hot.jpg,2.9,8.127835,Some Like It Hot,1.3609765531356006,2.2113285361474926
Pillow Talk,1959,$1.6 million,"$7,669,713",images\1959_Pillow_Talk.jpg,1.6,7.669713,Pillow Talk,0.9555114450274363,2.1598356875917197
Imitation of Life,1959,$1.2 million,"$6,417,807",images\1959_Imitation_of_Life.jpg,1.2,6.417807,Imitation of Life,0.7884573603642702,2.0038834609343765
"Suddenly, Last Summer",1959,$2.5 million,"$6,375,000","images\1959_Suddenly,_Last_Summer.jpg",2.5,6.375,"Suddenly, Last Summer",1.252762968495368,1.9980959022258835
Rio BravoThe Nun's Story,1959,"$1,214,899","$5,750,000",images\1959_Rio_BravoThe_Nun's_Story.jpg,1.214899,5.75,Rio BravoThe Nun's Story,0.7952068042633388,1.9095425048844386
North by Northwest,1959,$4.3 million,"$5,740,000",images\1959_North_by_Northwest.jpg,4.3,5.74,North by Northwest,1.667706820558076,1.9080599249242156
Anatomy of a Murder,1959,$2 million,"$5,500,000",images\1959_Anatomy_of_a_Murder.jpg,2.0,5.5,Anatomy of a Murder,1.0986122886681098,1.8718021769015913
Spartacus,1960,$12 million,"$14,000,000",images\1960_Spartacus.jpg,12.0,14.0,Spartacus,2.5649493574615367,2.70805020110221
Psycho,1960,"$806,947","$9,100,000",images\1960_Psycho.jpg,0.806947,9.1,Psycho,0.5916386807980989,2.312535423847214
Exodus,1960,$4.5 million,"$8,500,000",images\1960_Exodus.jpg,4.5,8.5,Exodus,1.7047480922384253,2.2512917986064953
Swiss Family Robinson,1960,$5 million,"$8,100,000",images\1960_Swiss_Family_Robinson.jpg,5.0,8.1,Swiss Family Robinson,1.791759469228055,2.2082744135228043
The Alamo,1960,$12 million,"$7,900,000",images\1960_The_Alamo.jpg,12.0,7.9,The Alamo,2.5649493574615367,2.186051276738094
The World of Suzie Wong,1960,"$2,000,000","$7,500,000",images\1960_The_World_of_Suzie_Wong.jpg,2.0,7.5,The World of Suzie Wong,1.0986122886681098,2.1400661634962708
BUtterfield 8,1960,$2.8 million,"$6,800,000",images\1960_BUtterfield_8.jpg,2.8,6.8,BUtterfield 8,1.33500106673234,2.0541237336955462
The Apartment,1960,$3 million,"$6,700,000",images\1960_The_Apartment.jpg,3.0,6.7,The Apartment,1.3862943611198906,2.0412203288596382
From the Terrace,1960,$3 million,"$5,200,000",images\1960_From_the_Terrace.jpg,3.0,5.2,From the Terrace,1.3862943611198906,1.824549292051046
West Side Story,1961,$6.75 million,"$19,645,000",images\1961_West_Side_Story.jpg,6.75,19.645,West Side Story,2.0476928433652555,3.0274731593380535
The Guns of Navarone,1961,$6 million,"$13,000,000",images\1961_The_Guns_of_Navarone.jpg,6.0,13.0,The Guns of Navarone,1.9459101490553132,2.6390573296152584
El Cid,1961,$7-9 million,"$12,000,000",images\1961_El_Cid.jpg,7.0,12.0,El Cid,2.0794415416798357,2.5649493574615367
King of Kings,1961,$7-8.5 million,"$8,000,000",images\1961_King_of_Kings.jpg,7.0,8.0,King of Kings,2.0794415416798357,2.1972245773362196
One Hundred and One Dalmatians,1961,$3.6-4 million,"$6,200,000",images\1961_One_Hundred_and_One_Dalmatians.jpg,3.6,6.2,One Hundred and One Dalmatians,1.5260563034950492,1.9740810260220096
The Longest Day,1962,$7.75 million,"$15,250,000",images\1962_The_Longest_Day.jpg,7.75,15.25,The Longest Day,2.169053700369523,2.7880929087757464
Lawrence of Arabia,1962,$15 million,"$15,000,000",images\1962_Lawrence_of_Arabia.jpg,15.0,15.0,Lawrence of Arabia,2.772588722239781,2.772588722239781
Mutiny on the Bounty,1962,$19 million or $17 million,"$7,410,000",images\1962_Mutiny_on_the_Bounty.jpg,18.0,7.41,Mutiny on the Bounty,2.9444389791664403,2.1294214739848565
To Kill a Mockingbird,1962,$2 million,"$7,112,000",images\1962_To_Kill_a_Mockingbird.jpg,2.0,7.112,To Kill a Mockingbird,1.0986122886681098,2.0933444468488274
Gypsy,1962,$4 million,"$6,000,000",images\1962_Gypsy.jpg,4.0,6.0,Gypsy,1.6094379124341003,1.9459101490553132
Bon Voyage!The Interns,1962,$3 million,"$5,000,000",images\1962_Bon_Voyage!The_Interns.jpg,3.0,5.0,Bon Voyage!The Interns,1.3862943611198906,1.791759469228055
Cleopatra,1963,$31.1 million,"$26,000,000",images\1963_Cleopatra.jpg,31.1,26.0,Cleopatra,3.4688560301359703,3.295836866004329
How the West Was Won,1963,$14.4 million,"$20,932,883",images\1963_How_the_West_Was_Won.jpg,14.4,20.932883,How the West Was Won,2.7343675094195836,3.0879870175374857
"It's a Mad, Mad, Mad, Mad World",1963,$9.4 million,"$20,800,000","images\1963_It's_a_Mad,_Mad,_Mad,_Mad_World.jpg",9.4,20.8,"It's a Mad, Mad, Mad, Mad World",2.341805806147327,3.0819099697950434
Irma la Douce,1963,$5 million,"$11,921,784",images\1963_Irma_la_Douce.jpg,5.0,11.921784,Irma la Douce,1.791759469228055,2.5589145693175777
Son of Flubber,1963,$2 million,"$9,100,000",images\1963_Son_of_Flubber.jpg,2.0,9.1,Son of Flubber,1.0986122886681098,2.312535423847214
Charade,1963,$3 million,"$6,363,000",images\1963_Charade.jpg,3.0,6.363,Charade,1.3862943611198906,1.9964674583865798
Bye Bye Birdie,1963,$5 million,"$6,200,000",images\1963_Bye_Bye_Birdie.jpg,5.0,6.2,Bye Bye Birdie,1.791759469228055,1.9740810260220096
The Great Escape,1963,$3.8 million,"$5,546,000",images\1963_The_Great_Escape.jpg,3.8,5.546,The Great Escape,1.5686159179138452,1.8788541760789887
Mary Poppins,1964,$4.4-6 million,"$31,000,000",images\1964_Mary_Poppins.jpg,4.4,31.0,Mary Poppins,1.6863989535702288,3.4657359027997265
My Fair Lady,1964,$17 million,"$30,000,000",images\1964_My_Fair_Lady.jpg,17.0,30.0,My Fair Lady,2.8903717578961645,3.4339872044851463
Goldfinger,1964,$3 million,"$22,500,000",images\1964_Goldfinger.jpg,3.0,22.5,Goldfinger,1.3862943611198906,3.1570004211501135
The Carpetbaggers,1964,$3.3 million,"$15,500,000",images\1964_The_Carpetbaggers.jpg,3.3,15.5,The Carpetbaggers,1.4586150226995167,2.803360380906535
From Russia With Love,1964,$2 million,"$9,200,000",images\1964_From_Russia_With_Love.jpg,2.0,9.2,From Russia With Love,1.0986122886681098,2.322387720290225
What a Way to Go!,1964,$3.7 million,"$6,100,000",images\1964_What_a_Way_to_Go!.jpg,3.7,6.1,What a Way to Go!,1.547562508716013,1.9600947840472698
The Sound of Music,1965,$8.2 million,"$72,000,000",images\1965_The_Sound_of_Music.jpg,8.2,72.0,The Sound of Music,2.2192034840549946,4.290459441148391
